"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"9FFC9EE81D64424CBCB3BA7B1D102393","D01","HARV","HARV_016","2013-06-19",1,"MAM.HARV.2013.06",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"96CFD5AF12A342EE9AD6E289FA2102F5","D01","HARV","HARV_016","2013-06-20",2,"MAM.HARV.2013.06",5,0,5,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"92425D23D15E4CF588DE660906EEBA91","D01","HARV","HARV_016","2013-06-21",3,"MAM.HARV.2013.06",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"1F2191554FAF4979BE78C482AA6DBDC3","D01","HARV","HARV_032","2013-07-08",1,"MAM.HARV.2013.07",100,4,96,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"3A1E64230B964A4FA1D3998D8C6698F0","D01","HARV","HARV_021","2013-07-08",1,"MAM.HARV.2013.07",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"81652B9D2FD7434C9138856D66C8710D","D01","HARV","HARV_032","2013-07-09",2,"MAM.HARV.2013.07",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"5C3550DAFFD8468B974A009993520E89","D01","HARV","HARV_021","2013-07-09",2,"MAM.HARV.2013.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"A72AC1982B3147F3B3A4C09474301329","D01","HARV","HARV_032","2013-07-10",3,"MAM.HARV.2013.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"935C8316587042C0ABFBCAFD693465A8","D01","HARV","HARV_021","2013-07-10",3,"MAM.HARV.2013.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"4D2EE52E6E334E83A58A27D87B822657","D01","HARV","HARV_008","2013-07-11",1,"MAM.HARV.2013.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"D4DF0FF11E054F2CBDE691C1EDFBEC04","D01","HARV","HARV_006","2013-07-11",1,"MAM.HARV.2013.07",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"745E43CFABD04865B29D64F3D6D446E9","D01","HARV","HARV_023","2013-07-11",1,"MAM.HARV.2013.07",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"12F1E460977644448BA340FF00DCAEB1","D01","HARV","HARV_023","2013-07-12",2,"MAM.HARV.2013.07",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,1,0
"AA8C89CA88734288B2A1258519856F8E","D01","HARV","HARV_008","2013-07-12",2,"MAM.HARV.2013.07",100,8,92,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"0E6154BE957A4A80918A565E0CF5861D","D01","HARV","HARV_006","2013-07-12",2,"MAM.HARV.2013.07",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"3F50DAA0F26847DDAC8ABCA2E9D0A676","D01","HARV","HARV_008","2013-07-13",3,"MAM.HARV.2013.07",100,30,70,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"CE43F1D3DA1147A0911B590A0F849F25","D01","HARV","HARV_006","2013-07-13",3,"MAM.HARV.2013.07",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"230C9152EB20456FB60B9F7E7AC2C4E8","D01","HARV","HARV_023","2013-07-13",3,"MAM.HARV.2013.07",99,8,91,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"08D6629A395042449E860CD3CB22F90A","D01","HARV","HARV_032","2013-07-13",4,"MAM.HARV.2013.07",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"B001C186DFC340E29051A9EA3C4498B7","D01","HARV","HARV_021","2013-08-05",1,"MAM.HARV.2013.08",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"21AE363BB901469F8564C0E81597334B","D01","HARV","HARV_008","2013-08-05",1,"MAM.HARV.2013.08",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"7730342984AA49B8A65A7E6DCF809DA9","D01","HARV","HARV_021","2013-08-06",2,"MAM.HARV.2013.08",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"A737F38273934BA7AEB8E564541AB506","D01","HARV","HARV_008","2013-08-06",2,"MAM.HARV.2013.08",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"E8BA3E435BFE452EBCE845F6BE730048","D01","HARV","HARV_032","2013-08-07",1,"MAM.HARV.2013.08",0,0,0,"NEON.DOC.000481","NEON.DOC.001907","traps not set; no data sheets from field; osmith email address only entered to enable functionality of data recorder",0,1
"C2E7860361654680AFF709178D681034","D01","HARV","HARV_008","2013-08-07",3,"MAM.HARV.2013.08",100,12,88,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"F124BFB58FED4E9691849C48F3CCA019","D01","HARV","HARV_021","2013-08-07",3,"MAM.HARV.2013.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"B220ACFFB7A64DCA82772FA1CB629FF4","D01","HARV","HARV_023","2013-08-08",1,"MAM.HARV.2013.08",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"DA1F44DE781945A98A6CE649877479FC","D01","HARV","HARV_001","2013-08-08",1,"MAM.HARV.2013.08",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"E29DDE7DC7444AB18577B357F7C4BDD6","D01","HARV","HARV_006","2013-08-08",1,"MAM.HARV.2013.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"56A892B763154321B64FB296D189F9C0","D01","HARV","HARV_023","2013-08-09",2,"MAM.HARV.2013.08",100,7,93,"NEON.DOC.000481","NEON.DOC.001907",,1,0
"8451491DE5144B42A8E9A00BEFCD2404","D01","HARV","HARV_006","2013-08-09",2,"MAM.HARV.2013.08",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"1A326085BFD74F55A6135A44D390F32A","D01","HARV","HARV_001","2013-08-09",2,"MAM.HARV.2013.08",100,4,96,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"5AD60BD215AB42038DACF4A748113941","D01","HARV","HARV_023","2013-08-10",3,"MAM.HARV.2013.08",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"55685F961DF043B595FD853C22B6EC93","D01","HARV","HARV_001","2013-08-10",3,"MAM.HARV.2013.08",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"8B4806B627CF49438724EF3AC82F0CDD","D01","HARV","HARV_006","2013-08-10",3,"MAM.HARV.2013.08",100,11,89,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"3D4741BF7A544DADA46BC0EC737CF48D","D01","HARV","HARV_008","2013-09-09",1,"MAM.HARV.2013.09",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"A62F3DDA80FD4D3A9011AB345F7840ED","D01","HARV","HARV_021","2013-09-09",1,"MAM.HARV.2013.09",99,0,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"618D62CBDABD4E4B87BCE2A71287649D","D01","HARV","HARV_032","2013-09-09",1,"MAM.HARV.2013.09",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,1,1
"D984F814D4C541CE9E0B9CE7667A57B1","D01","HARV","HARV_021","2013-09-10",2,"MAM.HARV.2013.09",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"A2594052EFC444DD9934B4E1EC179A1D","D01","HARV","HARV_032","2013-09-11",2,"MAM.HARV.2013.09",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"5E38EDA6494448018110ECE188BDD7B3","D01","HARV","HARV_021","2013-09-11",3,"MAM.HARV.2013.09",100,4,96,"NEON.DOC.000481","NEON.DOC.001907","one trap had no trapID, #5 specified in notes (means 'trap ID suspect'), contained BLBR specimen, released with no data recorded",0,0
"D73AC7A165C24CE2965DAFC5D0913E57","D01","HARV","HARV_001","2013-09-12",1,"MAM.HARV.2013.09",100,6,94,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"90025B6C530541629D1807B9DA20A768","D01","HARV","HARV_023","2013-09-12",1,"MAM.HARV.2013.09",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"EE52A3A3E6744B278AC5952DB276BAAF","D01","HARV","HARV_006","2013-09-12",1,"MAM.HARV.2013.09",100,8,92,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"FE3D90F958594368AA7737934FA091D2","D01","HARV","HARV_023","2013-09-13",2,"MAM.HARV.2013.09",100,3,97,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"3C72527C90414821A592A9E176FDEDE4","D01","HARV","HARV_001","2013-09-13",2,"MAM.HARV.2013.09",100,5,95,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"9804B79F378044329B7EA1EBFAA9D0AD","D01","HARV","HARV_006","2013-09-13",2,"MAM.HARV.2013.09",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"94108F604C6F4AEFA56E50DC625E9FEF","D01","HARV","HARV_001","2013-09-14",3,"MAM.HARV.2013.09",100,9,91,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"4FF32ECA2606448288C50BEF08685311","D01","HARV","HARV_023","2013-09-14",3,"MAM.HARV.2013.09",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"1A819ECD96994E4BBA06B6BBEA7A0E42","D01","HARV","HARV_006","2013-09-14",3,"MAM.HARV.2013.09",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"21928148F8524F8EA49ABBB535C3943E","D01","HARV","HARV_032","2013-09-30",1,"MAM.HARV.2013.10",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
