"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"1D35C845CDCE474FA21170BDC2464CF7","D01","BART","BART_015","2014-05-28",1,"MAM.BART.2014.06",100,1,99,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"35C424DE5E3F44B49018478121E59891","D01","BART","BART_007","2014-05-28",1,"MAM.BART.2014.06",100,6,94,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"92FC601FEBFD4460996F4740D5D8D6D7","D01","BART","BART_012","2014-05-28",1,"MAM.BART.2014.06",100,9,91,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"51F6671AE3244F8ABB08A65292D41E41","D01","BART","BART_001","2014-05-28",1,"MAM.BART.2014.06",100,0,100,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"A6065ABBCE69487684BB53CE7B29F114","D01","BART","BART_015","2014-05-29",2,"MAM.BART.2014.06",100,6,94,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"C20F4F9894C0439289FA2FF78AE325C6","D01","BART","BART_001","2014-05-29",2,"MAM.BART.2014.06",100,8,92,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"0BABB23CD9C34805A19226783BA3337B","D01","BART","BART_007","2014-05-29",2,"MAM.BART.2014.06",100,5,95,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"8E9E0D7DD51C446588671D267C6B7FA6","D01","BART","BART_012","2014-05-29",2,"MAM.BART.2014.06",100,59,41,"NEON.DOC.000481","NEON.DOC.001907","Bear destroyed many traps in grid",0,1
"EEE18F614EEE4B52AAFE3F268900A441","D01","BART","BART_015","2014-05-30",3,"MAM.BART.2014.06",100,34,66,"NEON.DOC.000481","NEON.DOC.001907",,1,0
"7BFC1104D9CB489C8571113BCCB2EB00","D01","BART","BART_007","2014-05-30",3,"MAM.BART.2014.06",100,16,84,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"EB6F2010B07648008481F55A823FF4BB","D01","BART","BART_001","2014-05-30",3,"MAM.BART.2014.06",100,20,80,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"48D58F6C64984EBC930E98E39AC11678","D01","BART","BART_012","2014-06-28",1,"MAM.BART.2014.07",100,19,81,"NEON.DOC.000481"," NEON.DOC.00190",,1,0
"03F7DE9324554C8F861C9064DC79391B","D01","BART","BART_001","2014-06-28",1,"MAM.BART.2014.07",100,26,74,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"282971E8F5E8459DB88BCBFE95D6F6D4","D01","BART","BART_001","2014-06-29",2,"MAM.BART.2014.07",100,28,72,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"536DCC3A928A42A58CC35D97B4C264AF","D01","BART","BART_012","2014-06-29",2,"MAM.BART.2014.07",100,10,90,"NEON.DOC.000481","NEON.DOC.001907",,1,0
"4F506438EF8F464FAB26F612A13DD3F4","D01","BART","BART_001","2014-06-30",3,"MAM.BART.2014.07",100,41,59,"NEON.DOC.000481","NEON.DOC.000481",,0,0
"BFD57AC8F9E54918B6431F25817407FC","D01","BART","BART_012","2014-06-30",3,"MAM.BART.2014.07",100,14,86,"NEON.DOC.000481","NEON.DOC.000481","Many measurements not taken due to time constraints.",1,0
"8B7D5E3BD2E64CB18D007F65C39154D8","D01","BART","BART_007","2014-07-01",1,"MAM.BART.2014.07",100,17,83,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"5BF45394C06A465B83C62EF64FA4F579","D01","BART","BART_015","2014-07-01",1,"MAM.BART.2014.07",100,16,84,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"578C91712B034FC5882D2AB7031A82D0","D01","BART","BART_015","2014-07-02",2,"MAM.BART.2014.07",100,11,89,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"818CDCAC4849473697585E0120EE9C8C","D01","BART","BART_007","2014-07-02",2,"MAM.BART.2014.07",100,19,81,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"5C6032A8A8C64ADBB885494BAAE2B708","D01","BART","BART_007","2014-07-03",3,"MAM.BART.2014.07",100,11,89,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"A9D1C6F1859E425DAC54223E6EAD04F8","D01","BART","BART_015","2014-07-03",3,"MAM.BART.2014.07",83,20,63,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"0E68374DD98F493DA2919744B814C961","D01","BART","BART_001","2014-08-25",1,"MAM.BART.2014.09",100,7,93,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"07C011A055E047C989E0F09220A9A852","D01","BART","BART_012","2014-08-25",1,"MAM.BART.2014.09",100,18,82,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"F0C7ED99B0E64E699D361574185081B3","D01","BART","BART_062","2014-08-25",1,"MAM.BART.2014.09",100,8,92,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"147BF2F984CB484EB42DCC5A4E10F477","D01","BART","BART_001","2014-08-26",2,"MAM.BART.2014.09",100,19,81,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"16FDC171F85345FC8879F39E2E49C67C","D01","BART","BART_012","2014-08-26",2,"MAM.BART.2014.09",100,44,56,"NEON.DOC.000481","Reid, F. 2006. ","Many traps destroyed by bear, two traps missing. ",0,0
"5EC3A8E88CB04F71B8D37360EB0E13FE","D01","BART","BART_012","2014-08-27",3,"MAM.BART.2014.09",0,0,0,"NEON.DOC.000481","Reid, F. 2006. ","Grid not set due to extensive bear damage on 8/26",0,0
"A26C796FE95448E48F92CE43D1172FC2","D01","BART","BART_062","2014-08-27",2,"MAM.BART.2014.09",100,10,90,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"1E3BF7325B0445D281D4C93034391583","D01","BART","BART_001","2014-08-27",3,"MAM.BART.2014.09",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"0602D16C43EF45D89F8758F370AB113C","D01","BART","BART_007","2014-08-28",1,"MAM.BART.2014.09",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"A7C79CC8F99444D0997DC3B2EC2DB12A","D01","BART","BART_015","2014-08-28",1,"MAM.BART.2014.09",100,2,98,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"C98B54DE539844BCBDD46076DFA0A086","D01","BART","BART_015","2014-08-29",2,"MAM.BART.2014.09",100,9,91,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"4395DAC5A62F4A87953B0B2D6F480047","D01","BART","BART_007","2014-08-29",2,"MAM.BART.2014.09",100,10,90,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"F7F94C7C134144A083769C9EA49D12E6","D01","BART","BART_015","2014-08-30",3,"MAM.BART.2014.09",100,19,81,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"7CD3A352CC3143C898D318433B03B330","D01","BART","BART_007","2014-08-30",3,"MAM.BART.2014.09",100,18,82,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"B78214EF9F1843F0BBDC2555B241DFF6","D01","BART","BART_012","2014-10-20",1,"MAM.BART.2014.11",100,10,90,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"FD98DAF1F0424264B48B2D96DC9737D4","D01","BART","BART_062","2014-10-20",1,"MAM.BART.2014.11",98,4,94,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"C977EB343CDA4AFE98A83487670E79EA","D01","BART","BART_001","2014-10-20",1,"MAM.BART.2014.11",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"FEA02E4205CF4924930CE0CEA50A9767","D01","BART","BART_001","2014-10-21",2,"MAM.BART.2014.11",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"1FB81B5961104B6697D695A94CF4072F","D01","BART","BART_012","2014-10-21",2,"MAM.BART.2014.11",100,8,92,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"3E62902527874802B44453FA02969B9D","D01","BART","BART_062","2014-10-22",2,"MAM.BART.2014.11",100,21,79,"NEON.DOC.000481","NEON.DOC.001907",,0,1
"30D00CD16E2A48C9B9D09886B78CE830","D01","BART","BART_001","2014-10-22",3,"MAM.BART.2014.11",100,30,70,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"8FC2BF049BFB472ABF378C520AB0891E","D01","BART","BART_012","2014-10-22",3,"MAM.BART.2014.11",99,42,57,"NEON.DOC.000481","Reid, F. 2006. ","Note on back of datasheet says "R1816 and following animals were limited processing due to time & weather" but no record for an animal with that tag # from this grid/bout. There also does not seem to be evidence of limited processing on 10/22",0,0
"2741D029AC1A43C78F505474C31AA2BA","D01","BART","BART_015","2014-10-23",1,"MAM.BART.2014.11",99,20,79,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"E78FFB338C9F4E8ABE230D5658347C6A","D01","BART","BART_007","2014-10-23",1,"MAM.BART.2014.11",100,24,76,"NEON.DOC.000481","NEON.DOC.001907",,0,0
"D470398D257443EFA18D595C463724DE","D01","BART","BART_007","2014-10-24",2,"MAM.BART.2014.11",0,0,0,"NEON.DOC.000481","NEON.DOC.001907","Traps not set due to deaths on 20141023",0,0
"8E47BCCD4DAA4AD291F7AC5BD8261456","D01","BART","BART_015","2014-10-24",2,"MAM.BART.2014.11",0,0,0,"NEON.DOC.000481","Reid, F. 2006. ","Grid not set due to impassable creek crossing",0,0
"F7368E3368344FDBBCEEE165C13326F0","D01","BART","BART_015","2014-10-25",3,"MAM.BART.2014.11",100,38,62,"NEON.DOC.000481","Reid, F. 2006. ","Limited processing on all animals recaptured during this bout. Full processing on all new captures. ",0,0
"8C49562FA56D4B8C86729C1BAE68CB18","D01","BART","BART_007","2014-10-25",3,"MAM.BART.2014.11",0,0,0,"NEON.DOC.000481","NEON.DOC.001907","Traps not set due to deaths on 20141023",0,0
